Business Type,Customer Age,Budget,Trends,Generated Marketing Strategy
Restaurant (Vegan),55-65,"$2,000",Home workouts,"Launch a campaign targeting 55-65 with a focus on Home workouts. Allocate $2,000 to social media, 30% to partnerships, and 20% to email campaigns."
E-Commerce (Fashion),45-55,"$9,000","Organic living, self-care","Launch a Organic living, self-care collection and promote it on Instagram and Pinterest. Use influencer partnerships to drive sales. Allocate $9,000 to social media ads and 25% to collaborations."
Art Gallery,35-45,"$6,000",Home workouts,"Launch a campaign targeting 35-45 with a focus on Home workouts. Allocate $6,000 to social media, 30% to partnerships, and 20% to email campaigns."
Luxury Beauty Brand,18-25,"$10,000","Mobile apps, remote work tools","Launch a campaign targeting 18-25 with a focus on Mobile apps, remote work tools. Allocate $10,000 to social media, 30% to partnerships, and 20% to email campaigns."
Art Gallery,25-35,"$10,000","Sustainability, local sourcing","Launch a campaign targeting 25-35 with a focus on Sustainability, local sourcing. Allocate $10,000 to social media, 30% to partnerships, and 20% to email campaigns."
Tech Startup (App),18-25,"$2,000","Mindfulness, online classes","Launch a campaign targeting 18-25 with a focus on Mindfulness, online classes. Allocate $2,000 to social media, 30% to partnerships, and 20% to email campaigns."
Restaurant (Vegan),18-25,"$9,000","Virtual events, hybrid events","Launch a campaign targeting 18-25 with a focus on Virtual events, hybrid events. Allocate $9,000 to social media, 30% to partnerships, and 20% to email campaigns."
Tech Startup (App),35-45,"$5,000","Reading clubs, online book sales","Launch a campaign targeting 35-45 with a focus on Reading clubs, online book sales. Allocate $5,000 to social media, 30% to partnerships, and 20% to email campaigns."
Travel Agency,35-45,"$3,000","Athleisure, sustainability","Launch a campaign targeting 35-45 with a focus on Athleisure, sustainability. Allocate $3,000 to social media, 30% to partnerships, and 20% to email campaigns."
Bookstore,25-35,"$9,000",Home workouts,"Launch a campaign targeting 25-35 with a focus on Home workouts. Allocate $9,000 to social media, 30% to partnerships, and 20% to email campaigns."
Luxury Beauty Brand,45-55,"$2,000","Online shopping, influencer marketing","Launch a campaign targeting 45-55 with a focus on Online shopping, influencer marketing. Allocate $2,000 to social media, 30% to partnerships, and 20% to email campaigns."
