Industry,Target Customer,Customer Age Range,Marketing Budget,Trends,Strategy Category
Food & Beverage,Startups et PME,25-50 ans,45255.0,"{'Congo': 'Home workouts', 'Azerbaijan': 'Online shopping, influencer marketing', 'French Southern Territories': 'Mindfulness, online classes'}",Event Marketing
Fashion,Jeunes professionnels,25-50 ans,41227.0,"{'Azerbaijan': 'Pet wellness, eco-friendly products', 'French Southern Territories': 'Experiential art'}",Event Marketing
Health,Jeunes professionnels,18-35 ans,30755.0,"{'Argentina': 'Mobile apps, remote work tools', 'Armenia': 'Reading clubs, online book sales'}",Content Marketing
Health,Jeunes professionnels,25-50 ans,35093.0,"{'Azerbaijan': 'Sustainable travel, remote work locations', 'French Southern Territories': 'Virtual events, hybrid events'}",Search Engine Optimization (SEO)
Health,Startups et PME,18-35 ans,40319.0,"{'Argentina': 'Mobile apps, remote work tools', 'Armenia': 'Reading clubs, online book sales'}",Pay-Per-Click (PPC) Advertising
Fashion,Startups et PME,25-40 ans,8912.0,"Online shopping, influencer marketing",Social Media Marketing
Education,Startups et PME,25-40 ans,42839.0,Home workouts,Search Engine Optimization (SEO)
Education,Startups et PME,18-35 ans,44367.0,"Organic living, self-care",Pay-Per-Click (PPC) Advertising
Tech,Startups et PME,25-40 ans,31480.0,"Sustainability, local sourcing",Content Marketing
Fashion,Jeunes professionnels,25-50 ans,20937.0,"{'Azerbaijan': 'Pet wellness, eco-friendly products', 'French Southern Territories': 'Experiential art'}",Email Marketing
Health,Jeunes professionnels,25-50 ans,27805.0,"{'Azerbaijan': 'Sustainable travel, remote work locations', 'French Southern Territories': 'Virtual events, hybrid events'}",Email Marketing
Education,Jeunes professionnels,25-50 ans,48767.0,"Sustainability, local sourcing",Event Marketing
Food & Beverage,Startups et PME,25-50 ans,14041.0,"{'Congo': 'Home workouts', 'Azerbaijan': 'Online shopping, influencer marketing', 'French Southern Territories': 'Mindfulness, online classes'}",Email Marketing
Tech,Femmes 25-40 ans,25-40 ans,16959.0,Home workouts,Search Engine Optimization (SEO)
Fashion,Femmes 25-40 ans,25-40 ans,36661.0,"Organic living, self-care",Content Marketing
Tech,Jeunes professionnels,25-40 ans,37131.0,"Online shopping, influencer marketing",Content Marketing
Education,Startups et PME,25-50 ans,19483.0,"Sustainability, local sourcing",Email Marketing
Health,Femmes 25-40 ans,25-40 ans,14775.0,"Online shopping, influencer marketing",Social Media Marketing
Fashion,Startups et PME,18-35 ans,48140.0,"{'Argentina': 'Athleisure, sustainability', 'Armenia': 'Skincare, clean beauty'}",Pay-Per-Click (PPC) Advertising
Health,Jeunes professionnels,18-35 ans,37540.0,"{'Argentina': 'Mobile apps, remote work tools', 'Armenia': 'Reading clubs, online book sales'}",Content Marketing
Tech,Jeunes professionnels,18-35 ans,27591.0,"Mindfulness, online classes",Social Media Marketing
Education,Femmes 25-40 ans,18-35 ans,40987.0,"Organic living, self-care",Pay-Per-Click (PPC) Advertising
Fashion,Jeunes professionnels,25-50 ans,17468.0,"{'Azerbaijan': 'Pet wellness, eco-friendly products', 'French Southern Territories': 'Experiential art'}",Email Marketing
Fashion,Startups et PME,25-50 ans,13748.0,"{'Azerbaijan': 'Pet wellness, eco-friendly products', 'French Southern Territories': 'Experiential art'}",Email Marketing
Tech,Jeunes professionnels,18-35 ans,13331.0,"Sustainability, local sourcing",Social Media Marketing
Education,Jeunes professionnels,25-40 ans,43606.0,"Sustainability, local sourcing",Content Marketing
Health,Femmes 25-40 ans,18-35 ans,17569.0,"{'Argentina': 'Mobile apps, remote work tools', 'Armenia': 'Reading clubs, online book sales'}",Social Media Marketing
Fashion,Startups et PME,25-40 ans,10807.0,"Sustainability, local sourcing",Content Marketing
Education,Startups et PME,18-35 ans,18616.0,"Mindfulness, online classes",Social Media Marketing
Education,Femmes 25-40 ans,25-50 ans,7563.0,"Organic living, self-care",Email Marketing
Food & Beverage,Jeunes professionnels,25-50 ans,13392.0,"{'Congo': 'Home workouts', 'Azerbaijan': 'Online shopping, influencer marketing', 'French Southern Territories': 'Mindfulness, online classes'}",Email Marketing
Tech,Startups et PME,25-40 ans,15726.0,Home workouts,Content Marketing
Fashion,Startups et PME,18-35 ans,38439.0,"{'Argentina': 'Athleisure, sustainability', 'Armenia': 'Skincare, clean beauty'}",Content Marketing
Health,Startups et PME,25-40 ans,24485.0,"Mindfulness, online classes",Search Engine Optimization (SEO)
Tech,Startups et PME,25-40 ans,16444.0,"Sustainability, local sourcing",Content Marketing
Tech,Femmes 25-40 ans,18-35 ans,11124.0,"Sustainability, local sourcing",Social Media Marketing
Education,Startups et PME,25-40 ans,41991.0,"Online shopping, influencer marketing",Search Engine Optimization (SEO)
Education,Femmes 25-40 ans,18-35 ans,7477.0,"Mindfulness, online classes",Social Media Marketing
Health,Femmes 25-40 ans,18-35 ans,40587.0,"{'Argentina': 'Mobile apps, remote work tools', 'Armenia': 'Reading clubs, online book sales'}",Pay-Per-Click (PPC) Advertising
Tech,Startups et PME,25-50 ans,16808.0,"Sustainability, local sourcing",Email Marketing
Food & Beverage,Startups et PME,25-50 ans,40249.0,"{'Congo': 'Home workouts', 'Azerbaijan': 'Online shopping, influencer marketing', 'French Southern Territories': 'Mindfulness, online classes'}",Event Marketing
Education,Femmes 25-40 ans,25-50 ans,22915.0,"Organic living, self-care",Email Marketing
Food & Beverage,Jeunes professionnels,18-35 ans,6997.0,"{'Congo': 'Organic living, self-care', 'Argentina': 'Veganism, eco-friendly packaging', 'Armenia': 'Sustainability, local sourcing'}",Social Media Marketing
Education,Jeunes professionnels,25-50 ans,30373.0,"Sustainability, local sourcing",Search Engine Optimization (SEO)
Food & Beverage,Femmes 25-40 ans,25-40 ans,47806.0,"Online shopping, influencer marketing",Content Marketing
Health,Jeunes professionnels,25-50 ans,49326.0,"{'Azerbaijan': 'Sustainable travel, remote work locations', 'French Southern Territories': 'Virtual events, hybrid events'}",Event Marketing
Tech,Startups et PME,18-35 ans,29675.0,Home workouts,Social Media Marketing
Tech,Startups et PME,25-50 ans,32593.0,"Mindfulness, online classes",Search Engine Optimization (SEO)
Health,Jeunes professionnels,25-50 ans,7588.0,"{'Azerbaijan': 'Sustainable travel, remote work locations', 'French Southern Territories': 'Virtual events, hybrid events'}",Email Marketing
Tech,Jeunes professionnels,25-50 ans,49791.0,"Sustainability, local sourcing",Event Marketing
Fashion,Startups et PME,25-40 ans,15484.0,"Organic living, self-care",Content Marketing
Tech,Femmes 25-40 ans,18-35 ans,26752.0,"Online shopping, influencer marketing",Social Media Marketing
Health,Startups et PME,18-35 ans,18161.0,"{'Argentina': 'Mobile apps, remote work tools', 'Armenia': 'Reading clubs, online book sales'}",Social Media Marketing
Health,Startups et PME,25-50 ans,6039.0,"{'Azerbaijan': 'Sustainable travel, remote work locations', 'French Southern Territories': 'Virtual events, hybrid events'}",Email Marketing
Food & Beverage,Startups et PME,25-40 ans,31082.0,"Sustainability, local sourcing",Social Media Marketing
Education,Startups et PME,25-50 ans,35589.0,"Organic living, self-care",Search Engine Optimization (SEO)
Health,Femmes 25-40 ans,25-40 ans,8399.0,"Sustainability, local sourcing",Search Engine Optimization (SEO)
Fashion,Startups et PME,18-35 ans,16685.0,"{'Argentina': 'Athleisure, sustainability', 'Armenia': 'Skincare, clean beauty'}",Social Media Marketing
Health,Femmes 25-40 ans,25-40 ans,36621.0,"Mindfulness, online classes",Social Media Marketing
Education,Startups et PME,25-40 ans,28730.0,"Online shopping, influencer marketing",Content Marketing
Food & Beverage,Jeunes professionnels,18-35 ans,6058.0,"{'Congo': 'Organic living, self-care', 'Argentina': 'Veganism, eco-friendly packaging', 'Armenia': 'Sustainability, local sourcing'}",Social Media Marketing
Tech,Startups et PME,25-50 ans,20839.0,"Mindfulness, online classes",Email Marketing
Tech,Femmes 25-40 ans,25-40 ans,39476.0,"Online shopping, influencer marketing",Search Engine Optimization (SEO)
Tech,Jeunes professionnels,18-35 ans,12006.0,"Organic living, self-care",Social Media Marketing
Tech,Startups et PME,18-35 ans,39808.0,"Sustainability, local sourcing",Content Marketing
Education,Femmes 25-40 ans,25-40 ans,8577.0,"Organic living, self-care",Content Marketing
Education,Femmes 25-40 ans,18-35 ans,45785.0,Home workouts,Pay-Per-Click (PPC) Advertising
Food & Beverage,Startups et PME,18-35 ans,13202.0,"{'Congo': 'Organic living, self-care', 'Argentina': 'Veganism, eco-friendly packaging', 'Armenia': 'Sustainability, local sourcing'}",Social Media Marketing
Fashion,Femmes 25-40 ans,18-35 ans,40546.0,"{'Argentina': 'Athleisure, sustainability', 'Armenia': 'Skincare, clean beauty'}",Pay-Per-Click (PPC) Advertising
Tech,Startups et PME,18-35 ans,9108.0,"Mindfulness, online classes",Social Media Marketing
Fashion,Jeunes professionnels,25-40 ans,24099.0,"Online shopping, influencer marketing",Search Engine Optimization (SEO)
Food & Beverage,Jeunes professionnels,25-40 ans,42600.0,"Online shopping, influencer marketing",Social Media Marketing
Food & Beverage,Femmes 25-40 ans,25-40 ans,32853.0,"Organic living, self-care",Content Marketing
Tech,Femmes 25-40 ans,25-40 ans,6223.0,"Sustainability, local sourcing",Search Engine Optimization (SEO)
Education,Startups et PME,25-50 ans,27716.0,"Online shopping, influencer marketing",Email Marketing
